source_file,source_path,split_label,timestamp,Time,wtime,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads,weak_label,Avg,HW,Max,prmon,max_pss,cpu,threads,iforest_raw_prediction,iforest_decision_function,iforest_score_samples,anomaly_flag,anomaly_score,threshold
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974610,1771974610.0,58.0,1555.0,10448.0,0.0,1205200.0,6592.0,0.0,5239574615.0,5239574528.0,151875.0,874.0,284063.0,958.0,47.0,7.0,4.0,20.0,1,,,,,,,,-1,-0.026105956136688535,-0.5770581629540927,1,0.026105956136688535,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974612,1771974612.0,60.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,5419421783.0,5419421696.0,155369.0,902.0,288236.0,985.0,48.0,7.0,4.0,20.0,1,,,,,,,,-1,-0.02248176303170013,-0.5734339698491043,1,0.02248176303170013,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974614,1771974614.0,62.0,1555.0,10448.0,0.0,1205200.0,6592.0,0.0,5599850583.0,5599850496.0,158250.0,928.0,290903.0,1011.0,50.0,7.0,4.0,20.0,1,,,,,,,,-1,-0.02223250226471385,-0.573184709082118,1,0.02223250226471385,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974616,1771974616.0,64.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,5780070487.0,5780070400.0,164545.0,962.0,311500.0,1052.0,52.0,7.0,4.0,20.0,1,,,,,,,,-1,-0.019159832027614843,-0.570112038845019,1,0.019159832027614843,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974618,1771974618.0,66.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,5960577111.0,5960577024.0,168733.0,993.0,315894.0,1086.0,53.0,8.0,4.0,20.0,1,,,,,,,,-1,-0.021303816434891543,-0.5722560232522957,1,0.021303816434891543,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974620,1771974620.0,68.0,1553.0,10448.0,0.0,1205200.0,6592.0,0.0,6141141079.0,6141140992.0,170141.0,1003.0,318072.0,1100.0,55.0,8.0,4.0,20.0,1,,,,,,,,-1,-0.01818119973677823,-0.5691334065541824,1,0.01818119973677823,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974622,1771974622.0,70.0,1553.0,10448.0,0.0,1205200.0,6592.0,0.0,6320431191.0,6320431104.0,177517.0,1040.0,339760.0,1146.0,57.0,8.0,4.0,20.0,1,,,,,,,,-1,-0.016194849770571618,-0.5671470565879758,1,0.016194849770571618,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974624,1771974624.0,72.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,6500032599.0,6500032512.0,179517.0,1056.0,341992.0,1163.0,58.0,8.0,4.0,20.0,1,,,,,,,,-1,-0.011960105478663552,-0.5629123122960678,1,0.011960105478663552,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974626,1771974626.0,74.0,1553.0,10448.0,0.0,1205200.0,6592.0,0.0,6679502935.0,6679502848.0,181383.0,1070.0,344352.0,1179.0,60.0,8.0,4.0,20.0,1,,,,,,,,-1,-0.009213051735286859,-0.5601652585526911,1,0.009213051735286859,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974628,1771974628.0,76.0,1555.0,10448.0,0.0,1205200.0,6592.0,0.0,6859984983.0,6859984896.0,187775.0,1100.0,349218.0,1212.0,61.0,9.0,4.0,20.0,1,,,,,,,,-1,-0.008179151300580001,-0.5591313581179842,1,0.008179151300580001,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974630,1771974630.0,78.0,1551.0,10448.0,0.0,1205200.0,6592.0,0.0,7040827479.0,7040827392.0,190469.0,1122.0,367990.0,1239.0,63.0,9.0,4.0,20.0,1,,,,,,,,-1,-0.006028046505571871,-0.5569802533229761,1,0.006028046505571871,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974632,1771974632.0,80.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,7220097111.0,7220097024.0,194262.0,1150.0,372297.0,1268.0,65.0,9.0,4.0,20.0,1,,,,,,,,-1,-0.0070041369562686695,-0.5579563437736729,1,0.0070041369562686695,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974634,1771974634.0,82.0,1555.0,10448.0,0.0,1205200.0,6592.0,0.0,7400321111.0,7400321024.0,196106.0,1164.0,374435.0,1284.0,66.0,9.0,4.0,20.0,1,,,,,,,,-1,-0.005927722932388302,-0.5568799297497925,1,0.005927722932388302,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974636,1771974636.0,84.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,7581048919.0,7581048832.0,200869.0,1184.0,378004.0,1308.0,68.0,10.0,4.0,20.0,1,,,,,,,,-1,-0.006462922764999157,-0.5574151295824034,1,0.006462922764999157,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974638,1771974638.0,86.0,1551.0,10448.0,0.0,1205200.0,6592.0,0.0,7760789591.0,7760789504.0,205668.0,1220.0,398405.0,1348.0,70.0,10.0,4.0,20.0,1,,,,,,,,-1,-0.010765341888368196,-0.5617175487057724,1,0.010765341888368196,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974640,1771974640.0,88.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,7941410903.0,7941410816.0,207202.0,1232.0,400577.0,1362.0,71.0,10.0,4.0,20.0,1,,,,,,,,-1,-0.011417235965130113,-0.5623694427825343,1,0.011417235965130113,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974642,1771974642.0,90.0,1552.0,10448.0,0.0,1205200.0,6592.0,0.0,8119611479.0,8119611392.0,210719.0,1256.0,404456.0,1387.0,73.0,10.0,4.0,20.0,1,,,,,,,,-1,-0.0141745788469827,-0.5651267856643869,1,0.0141745788469827,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974644,1771974644.0,92.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,8298659927.0,8298659840.0,216686.0,1287.0,424403.0,1424.0,74.0,11.0,4.0,20.0,1,,,,,,,,-1,-0.013335870302694453,-0.5642880771200987,1,0.013335870302694453,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974646,1771974646.0,94.0,1551.0,10448.0,0.0,1205200.0,6592.0,0.0,8478879831.0,8478879744.0,218552.0,1301.0,426763.0,1440.0,76.0,11.0,4.0,20.0,1,,,,,,,,-1,-0.014558425160680843,-0.565510631978085,1,0.014558425160680843,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974648,1771974648.0,96.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,8658632791.0,8658632704.0,222047.0,1325.0,430420.0,1465.0,78.0,11.0,4.0,20.0,1,,,,,,,,-1,-0.016578823517276464,-0.5675310303346807,1,0.016578823517276464,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974650,1771974650.0,98.0,1551.0,10448.0,0.0,1205200.0,6592.0,0.0,8839245911.0,8839245824.0,230601.0,1360.0,451277.0,1508.0,79.0,11.0,4.0,20.0,1,,,,,,,,-1,-0.02020835767105178,-0.571160564488456,1,0.02020835767105178,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974652,1771974652.0,100.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,9019015255.0,9019015168.0,237635.0,1398.0,457179.0,1549.0,81.0,11.0,4.0,20.0,1,,,,,,,,-1,-0.024008734727142267,-0.5749609415445465,1,0.024008734727142267,0.5509522068174042
anomaly_io_1.csv,../dataset/anomalies/anomaly_io_1.csv,anomaly_file,1771974654,1771974654.0,102.0,1556.0,10448.0,0.0,1205200.0,6592.0,0.0,9198891095.0,9198891008.0,239545.0,1413.0,459411.0,1566.0,83.0,12.0,4.0,20.0,1,,,,,,,,-1,-0.02345418218686912,-0.5744063890042733,1,0.02345418218686912,0.5509522068174042
